epoch: 0	train ppl: 324.381913308191	val ppl: 176.56088280205708	best val: 176.56088280205708	time (s) spent in epoch: 10.349136352539062
epoch: 1	train ppl: 124.81484547481247	val ppl: 138.52152704600923	best val: 138.52152704600923	time (s) spent in epoch: 10.342552661895752
epoch: 2	train ppl: 81.51312823003792	val ppl: 132.42610648073176	best val: 132.42610648073176	time (s) spent in epoch: 10.359256982803345
epoch: 3	train ppl: 59.157463965699776	val ppl: 135.5396647269919	best val: 132.42610648073176	time (s) spent in epoch: 10.380779027938843
epoch: 4	train ppl: 44.876241166198824	val ppl: 147.83240100837796	best val: 132.42610648073176	time (s) spent in epoch: 10.435081005096436
epoch: 5	train ppl: 35.130428870620115	val ppl: 165.68540206692114	best val: 132.42610648073176	time (s) spent in epoch: 10.443807363510132
epoch: 6	train ppl: 27.866128397842033	val ppl: 191.2445381614257	best val: 132.42610648073176	time (s) spent in epoch: 10.458463907241821
epoch: 7	train ppl: 22.635113747984928	val ppl: 219.76945144023222	best val: 132.42610648073176	time (s) spent in epoch: 10.463271141052246
epoch: 8	train ppl: 18.652091884068952	val ppl: 253.6441353900368	best val: 132.42610648073176	time (s) spent in epoch: 10.455122947692871
epoch: 9	train ppl: 15.689019313175187	val ppl: 295.641303249264	best val: 132.42610648073176	time (s) spent in epoch: 10.462375164031982
epoch: 10	train ppl: 13.466473597147033	val ppl: 345.15934527460325	best val: 132.42610648073176	time (s) spent in epoch: 10.469903230667114
epoch: 11	train ppl: 11.689037714649935	val ppl: 401.4265915150132	best val: 132.42610648073176	time (s) spent in epoch: 10.47047734260559
epoch: 12	train ppl: 10.364825964602513	val ppl: 467.56569085238897	best val: 132.42610648073176	time (s) spent in epoch: 10.469650506973267
epoch: 13	train ppl: 9.255741156192972	val ppl: 542.9021769836205	best val: 132.42610648073176	time (s) spent in epoch: 10.476420402526855
epoch: 14	train ppl: 8.410325561485262	val ppl: 622.2676972569571	best val: 132.42610648073176	time (s) spent in epoch: 10.472443342208862
epoch: 15	train ppl: 7.7048532528871565	val ppl: 708.0448369955479	best val: 132.42610648073176	time (s) spent in epoch: 10.47744369506836
epoch: 16	train ppl: 7.120302238734599	val ppl: 792.8221010122655	best val: 132.42610648073176	time (s) spent in epoch: 10.48061752319336
epoch: 17	train ppl: 6.619941864258861	val ppl: 885.794582872583	best val: 132.42610648073176	time (s) spent in epoch: 10.480729341506958
epoch: 18	train ppl: 6.1953715567883485	val ppl: 1002.5818007722037	best val: 132.42610648073176	time (s) spent in epoch: 10.479074478149414
epoch: 19	train ppl: 5.832251362440238	val ppl: 1119.381617031654	best val: 132.42610648073176	time (s) spent in epoch: 10.482962131500244
epoch: 20	train ppl: 5.513982636157624	val ppl: 1235.197726130426	best val: 132.42610648073176	time (s) spent in epoch: 10.494673252105713
epoch: 21	train ppl: 5.251273647845766	val ppl: 1368.844762479831	best val: 132.42610648073176	time (s) spent in epoch: 10.496399641036987
epoch: 22	train ppl: 5.012385458831763	val ppl: 1469.398934622286	best val: 132.42610648073176	time (s) spent in epoch: 10.494089841842651
epoch: 23	train ppl: 4.793573246755055	val ppl: 1627.8469175964362	best val: 132.42610648073176	time (s) spent in epoch: 10.501193761825562
epoch: 24	train ppl: 4.605088967284927	val ppl: 1758.6496910289568	best val: 132.42610648073176	time (s) spent in epoch: 10.497049570083618
epoch: 25	train ppl: 4.433864689404449	val ppl: 1934.6114073814488	best val: 132.42610648073176	time (s) spent in epoch: 10.499101638793945
epoch: 26	train ppl: 4.271017240512577	val ppl: 2185.8296347281957	best val: 132.42610648073176	time (s) spent in epoch: 10.497448205947876
epoch: 27	train ppl: 4.14006323232433	val ppl: 2327.925862571793	best val: 132.42610648073176	time (s) spent in epoch: 10.498543977737427
epoch: 28	train ppl: 4.0158894503770455	val ppl: 2528.5633425164992	best val: 132.42610648073176	time (s) spent in epoch: 10.500274181365967
epoch: 29	train ppl: 3.8971406686595675	val ppl: 2675.881913329159	best val: 132.42610648073176	time (s) spent in epoch: 10.495783805847168
epoch: 30	train ppl: 3.8003696991780727	val ppl: 2901.7502540314113	best val: 132.42610648073176	time (s) spent in epoch: 10.49558711051941
epoch: 31	train ppl: 3.701353507103536	val ppl: 3179.518102123116	best val: 132.42610648073176	time (s) spent in epoch: 10.494694232940674
epoch: 32	train ppl: 3.616070798803558	val ppl: 3420.877266201928	best val: 132.42610648073176	time (s) spent in epoch: 10.495535850524902
epoch: 33	train ppl: 3.5231787791916496	val ppl: 3696.7887837415437	best val: 132.42610648073176	time (s) spent in epoch: 10.49702000617981
epoch: 34	train ppl: 3.446296989472192	val ppl: 3957.11843847374	best val: 132.42610648073176	time (s) spent in epoch: 10.501251935958862
epoch: 35	train ppl: 3.375646208729921	val ppl: 4306.489361251554	best val: 132.42610648073176	time (s) spent in epoch: 10.49819278717041
epoch: 36	train ppl: 3.3255927884739065	val ppl: 4390.808259255769	best val: 132.42610648073176	time (s) spent in epoch: 10.501657485961914
epoch: 37	train ppl: 3.2512201204370172	val ppl: 4636.768679694612	best val: 132.42610648073176	time (s) spent in epoch: 10.513120412826538
epoch: 38	train ppl: 3.1945214805773823	val ppl: 4947.6516519175275	best val: 132.42610648073176	time (s) spent in epoch: 10.51294231414795
epoch: 39	train ppl: 3.140794518403637	val ppl: 5238.3461908938025	best val: 132.42610648073176	time (s) spent in epoch: 10.511207818984985
